"Symbol","Name","Number of shares","Daily price","Floating Capitalization","Global capitalization","Global capitalization (%)"
"ABJC","SERVAIR ABIDJAN  COTE D'IVOIRE","10 912 000","1 830","3 993 755 400","19 968 960 000","0.16"
"BICB","BANQUE INTERNATIONALE POUR Lâ€™INDUSTRIE ET LE COMMERCE DU BENIN","57 759 800","5 180","0","299 195 764 000","2.42"
"BICC","BICI COTE D'IVOIRE","16 666 670","15 600","84 534 216 000","260 000 052 000","2.10"
"BNBC","BERNABE COTE D'IVOIRE","6 624 000","1 780","4 117 282 400","11 790 720 000","0.10"
"BOAB","BANK OF AFRICA BENIN","40 561 048","4 545","41 685 921 900","184 349 963 160","1.49"
"BOABF","BANK OF AFRICA BURKINA FASO","44 000 000","3 755","24 042 806 890","165 220 000 000","1.34"
"BOAC","BANK OF AFRICA COTE D'IVOIRE","40 000 000","6 480","35 804 851 200","259 200 000 000","2.09"
"BOAM","BANK OF AFRICA MALI","27 450 000","3 580","11 862 007 800","98 271 000 000","0.79"
"BOAN","BANK OF AFRICA NIGER","20 800 000","2 600","13 696 696 000","54 080 000 000","0.44"
"BOAS","BANK OF AFRICA SENEGAL","36 000 000","4 715","34 041 734 200","169 740 000 000","1.37"
"CABC","SICABLE COTE D'IVOIRE","5 920 000","1 280","3 689 984 000","7 577 600 000","0.06"
"CBIBF","CORIS BANK INTERNATIONAL BURKINA FASO","32 000 000","9 750","62 400 000 000","312 000 000 000","2.52"
"CFAC","CFAO MOTORS COTE D'IVOIRE","181 371 900","675","5 044 612 500","122 426 032 500","0.99"
"CIEC","CIE COTE D'IVOIRE","56 000 000","2 210","38 302 570 800","123 760 000 000","1.00"
"ECOC","ECOBANK COTE D'IVOIRE","55 050 600","11 905","133 931 250 000","655 377 393 000","5.30"
"ETIT","Ecobank Transnational Incorporated TOGO","18 084 106 722","17","13 138 456 018","307 429 814 274","2.48"
"FTSC","FILTISAC COTE D'IVOIRE","14 103 740","4 875","23 017 702 500","68 755 732 500","0.56"
"LNBB","LOTERIE NATIONALE DU BENIN","20 000 000","4 500","0","90 000 000 000","0.73"
"NEIC","NEI-CEDA COTE D'IVOIRE","12 765 825","620","1 423 876 500","7 914 811 500","0.06"
"NSBC","NSIA BANQUE COTE D'IVOIRE","24 734 572","9 760","45 238 702 880","241 409 422 720","1.95"
"NTLC","NESTLE COTE D'IVOIRE","22 070 400","12 500","55 286 750 000","275 880 000 000","2.23"
"ONTBF","ONATEL BURKINA FASO","68 000 000","2 355","36 832 200 000","160 140 000 000","1.29"
"ORAC","ORANGE COTE D'IVOIRE","150 655 350","15 000","451 966 050 000","2 259 830 250 000","18.26"
"ORGT","ORAGROUP TOGO","69 415 031","1 750","24 295 262 250","121 476 304 250","0.98"
"PALC","PALM COTE D'IVOIRE","15 459 316","9 090","46 227 285 900","140 525 182 440","1.14"
"PRSC","TRACTAFRIC MOTORS COTE D'IVOIRE","10 240 000","2 640","7 405 009 920","27 033 600 000","0.22"
"SAFC","SAFCA COTE D'IVOIRE","8 119 750","1 300","3 106 545 000","10 555 675 000","0.09"
"SCRC","SUCRIVOIRE COTE D'IVOIRE","19 600 000","1 225","5 522 300 000","24 010 000 000","0.19"
"SDCC","SODE COTE D'IVOIRE","9 000 000","6 100","27 194 288 000","54 900 000 000","0.44"
"SDSC","AFRICA GLOBAL LOGISTICS COTE D'IVOIRE","54 435 300","1 500","17 041 894 500","81 652 950 000","0.66"
"SEMC","EVIOSYS PACKAGING SIEM COTE D'IVOIRE","25 189 600","700","1 836 576 000","17 632 720 000","0.14"
"SGBC","SOCIETE GENERALE COTE D'IVOIRE","31 111 110","26 000","350 671 360 000","808 888 860 000","6.54"
"SHEC","VIVO ENERGY COTE D'IVOIRE","63 000 000","1 150","20 527 500 000","72 450 000 000","0.59"
"SIBC","SOCIETE IVOIRIENNE DE BANQUE COTE D'IVOIRE","100 000 000","4 945","49 450 000 000","494 500 000 000","4.00"
"SICC","SICOR COTE D'IVOIRE","600 000","3 675","276 970 050","2 205 000 000","0.02"
"SIVC","AIR LIQUIDE COTE D'IVOIRE","8 734 000","585","1 426 581 000","5 109 390 000","0.04"
"SLBC","SOLIBRA COTE D'IVOIRE","16 460 840","18 745","5 740 168 880","308 558 445 800","2.49"
"SMBC","SMB COTE D'IVOIRE","7 795 200","9 705","12 486 064 800","75 652 416 000","0.61"
"SNTS","SONATEL SENEGAL","100 000 000","25 020","547 678 692 720","2 502 000 000 000","20.22"
"SOGC","SOGB COTE D'IVOIRE","21 601 840","7 500","43 484 025 000","162 013 800 000","1.31"
"SPHC","SAPH COTE D'IVOIRE","25 558 005","6 760","40 668 362 800","172 772 113 800","1.40"
"STAC","SETAO COTE D'IVOIRE","13 440 000","690","1 932 000 000","9 273 600 000","0.07"
"STBC","SITAB COTE D'IVOIRE","17 955 000","21 450","93 657 683 700","385 134 750 000","3.11"
"TTLC","TOTALENERGIES MARKETING COTE D'IVOIRE","62 961 600","2 580","43 877 028 000","162 440 928 000","1.31"
"TTLS","TOTALENERGIES MARKETING SENEGAL","32 577 700","2 500","25 132 500 000","81 444 250 000","0.66"
"UNLC","UNILEVER COTE D'IVOIRE","9 183 400","52 640","8 045 813 440","483 414 176 000","3.91"
"UNXC","UNIWAX COTE D'IVOIRE","20 750 000","725","4 168 750 000","15 043 750 000","0.12"
