ticker,source_url,scraped_at,Prix (FCFA),Variation (%),Volume (titres),Valeur (FCFA),Ouverture (FCFA),Plus haut (FCFA),Plus bas (FCFA),Clôture jour (FCFA),Clôture veille (FCFA),Nombre total de titres,Titres du flottant,Volume moyen,Valorisation (MFCFA),prix_fcfa,variation_pct,volume_titres,valeur_fcfa,ouverture_fcfa,plus_haut_fcfa,plus_bas_fcfa,cloture_jour_fcfa,cloture_veille_fcfa,nb_total_titres,titres_flottant,volume_moyen,valorisation_mfcfa,valorisation_fcfa
ABJC,https://www.richbourse.com/common/mouvements/index/ABJC,2025-09-12T13:28:41Z,4.06%,×,574,1 006 645,1 725,1 795,1 725,1 795,1 725,10 912 000,2 182 380,,,1795.0,4.06,574.0,1006645.0,1725.0,1795.0,1725.0,1795.0,1725.0,10912000.0,2182380.0,,,
BICB,https://www.richbourse.com/common/mouvements/index/BICB,2025-09-12T13:28:42Z,-1.34%,×,1 075,5 389 145,4 900,5 215,4 900,5 145,5 215,57 759 800,17 558 979,,,5145.0,-1.34,1075.0,5389145.0,4900.0,5215.0,4900.0,5145.0,5215.0,57759800.0,17558979.0,,,
BICC,https://www.richbourse.com/common/mouvements/index/BICC,2025-09-12T13:28:43Z,0.97%,×,730,11 599 245,16 000,16 190,15 500,15 650,15 500,16 666 670,5 418 860,,,15650.0,0.97,730.0,11599245.0,16000.0,16190.0,15500.0,15650.0,15500.0,16666670.0,5418860.0,,,
BNBC,https://www.richbourse.com/common/mouvements/index/BNBC,2025-09-12T13:28:44Z,-0.99%,×,5 512,7 827 965,1 500,1 510,1 400,1 495,1 510,6 624 000,2 313 080,,,1495.0,-0.99,5512.0,7827965.0,1500.0,1510.0,1400.0,1495.0,1510.0,6624000.0,2313080.0,,,
BOAB,https://www.richbourse.com/common/mouvements/index/BOAB,2025-09-12T13:28:45Z,-0.1%,×,10 594,50 390 040,4 750,4 900,4 750,4 895,4 900,40 561 048,18 396 252,,,4895.0,-0.1,10594.0,50390040.0,4750.0,4900.0,4750.0,4895.0,4900.0,40561048.0,18396252.0,,,
BOABF,https://www.richbourse.com/common/mouvements/index/BOABF,2025-09-12T13:28:47Z,2.24%,×,822,3 319 305,3 960,4 100,3 960,4 100,4 010,44 000 000,19 149 000,,,4100.0,2.24,822.0,3319305.0,3960.0,4100.0,3960.0,4100.0,4010.0,44000000.0,19149000.0,,,
BOAC,https://www.richbourse.com/common/mouvements/index/BOAC,2025-09-12T13:28:48Z,0.07%,×,4 517,31 234 110,6 995,7 000,6 850,6 995,6 990,40 000 000,11 050 880,,,6995.0,0.07,4517.0,31234110.0,6995.0,7000.0,6850.0,6995.0,6990.0,40000000.0,11050880.0,,,
BOAM,https://www.richbourse.com/common/mouvements/index/BOAM,2025-09-12T13:28:49Z,1.82%,×,3 749,14 572 725,3 885,3 920,3 850,3 920,3 850,27 450 000,26 882 850,,,3920.0,1.82,3749.0,14572725.0,3885.0,3920.0,3850.0,3920.0,3850.0,27450000.0,26882850.0,,,
BOAN,https://www.richbourse.com/common/mouvements/index/BOAN,2025-09-12T13:28:50Z,-0.19%,×,3 558,9 196 260,2 600,2 600,2 550,2 595,2 600,20 800 000,8 428 736,,,2595.0,-0.19,3558.0,9196260.0,2600.0,2600.0,2550.0,2595.0,2600.0,20800000.0,8428736.0,,,
BOAS,https://www.richbourse.com/common/mouvements/index/BOAS,2025-09-12T13:28:51Z,0.1%,×,4 995,25 699 745,5 100,5 250,5 095,5 100,5 095,36 000 000,11 356 920,,,5100.0,0.1,4995.0,25699745.0,5100.0,5250.0,5095.0,5100.0,5095.0,36000000.0,11356920.0,,,
CABC,https://www.richbourse.com/common/mouvements/index/CABC,2025-09-12T13:28:52Z,6.77%,×,962,1 281 905,1 410,1 420,1 330,1 420,1 330,5 920 000,2 882 800,,,1420.0,6.77,962.0,1281905.0,1410.0,1420.0,1330.0,1420.0,1330.0,5920000.0,2882800.0,,,
CBIBF,https://www.richbourse.com/common/mouvements/index/CBIBF,2025-09-12T13:28:54Z,2.57%,×,757,7 432 265,9 750,10 000,9 745,9 995,9 745,32 000 000,6 400 000,,,9995.0,2.57,757.0,7432265.0,9750.0,10000.0,9745.0,9995.0,9745.0,32000000.0,6400000.0,,,
CFAC,https://www.richbourse.com/common/mouvements/index/CFAC,2025-09-12T13:28:55Z,0%,×,14 708,13 328 285,925,925,905,910,910,181 371 900,7 529 000,,,910.0,0.0,14708.0,13328285.0,925.0,925.0,905.0,910.0,910.0,181371900.0,7529000.0,,,
CIEC,https://www.richbourse.com/common/mouvements/index/CIEC,2025-09-12T13:28:56Z,1.51%,×,1 627,3 797 255,2 315,2 365,2 305,2 350,2 315,56 000 000,25 731 480,,,2350.0,1.51,1627.0,3797255.0,2315.0,2365.0,2305.0,2350.0,2315.0,56000000.0,25731480.0,,,
ECOC,https://www.richbourse.com/common/mouvements/index/ECOC,2025-09-12T13:28:57Z,2.97%,×,424,5 205 455,12 110,12 500,12 110,12 470,12 110,55 050 600,12 617 000,,,12470.0,2.97,424.0,5205455.0,12110.0,12500.0,12110.0,12470.0,12110.0,55050600.0,12617000.0,,,
ETIT,https://www.richbourse.com/common/mouvements/index/ETIT,2025-09-12T13:28:58Z,0%,×,102 368,1 797 187,18,18,17,18,18,18 084 106 722,772 850 354,,,18.0,0.0,102368.0,1797187.0,18.0,18.0,17.0,18.0,18.0,18084106722.0,772850354.0,,,
FTSC,https://www.richbourse.com/common/mouvements/index/FTSC,2025-09-12T13:28:59Z,0%,×,25 046,119 767 630,4 790,4 840,4 720,4 790,4 790,14 103 740,4 709 112,,,4790.0,0.0,25046.0,119767630.0,4790.0,4840.0,4720.0,4790.0,4790.0,14103740.0,4709112.0,,,
LNBB,https://www.richbourse.com/common/mouvements/index/LNBB,2025-09-12T13:29:00Z,-0.82%,×,289,1 207 060,4 280,4 285,4 020,4 250,4 285,20 000 000,9 000 000,,,4250.0,-0.82,289.0,1207060.0,4280.0,4285.0,4020.0,4250.0,4285.0,20000000.0,9000000.0,,,
NEIC,https://www.richbourse.com/common/mouvements/index/NEIC,2025-09-12T13:29:01Z,0%,×,1 362,896 820,655,660,655,660,660,12 765 825,2 296 575,,,660.0,0.0,1362.0,896820.0,655.0,660.0,655.0,660.0,660.0,12765825.0,2296575.0,,,
NSBC,https://www.richbourse.com/common/mouvements/index/NSBC,2025-09-12T13:29:03Z,0%,×,1 572,16 036 970,10 200,10 210,10 200,10 200,10 200,24 734 572,4 946 915,,,10200.0,0.0,1572.0,16036970.0,10200.0,10210.0,10200.0,10200.0,10200.0,24734572.0,4946915.0,,,
NTLC,https://www.richbourse.com/common/mouvements/index/NTLC,2025-09-12T13:29:04Z,0%,×,711,9 219 850,12 950,13 100,12 900,13 100,13 100,22 070 400,4 422 940,,,13100.0,0.0,711.0,9219850.0,12950.0,13100.0,12900.0,13100.0,13100.0,22070400.0,4422940.0,,,
ONTBF,https://www.richbourse.com/common/mouvements/index/ONTBF,2025-09-12T13:29:05Z,0%,×,3 265,7 508 970,2 315,2 300,2 290,2 300,2 300,68 000 000,15 640 000,,,2300.0,0.0,3265.0,7508970.0,2315.0,2300.0,2290.0,2300.0,2300.0,68000000.0,15640000.0,,,
ORAC,https://www.richbourse.com/common/mouvements/index/ORAC,2025-09-12T13:29:06Z,0.04%,×,1 236,17 502 505,14 200,14 205,14 100,14 205,14 200,150 655 350,14 240 207,,,14205.0,0.04,1236.0,17502505.0,14200.0,14205.0,14100.0,14205.0,14200.0,150655350.0,14240207.0,,,
ORGT,https://www.richbourse.com/common/mouvements/index/ORGT,2025-09-12T13:29:07Z,0.94%,×,420,894 180,2 125,2 150,2 125,2 145,2 125,69 415 031,13 883 007,,,2145.0,0.94,420.0,894180.0,2125.0,2150.0,2125.0,2145.0,2125.0,69415031.0,13883007.0,,,
PALC,https://www.richbourse.com/common/mouvements/index/PALC,2025-09-12T13:29:08Z,0%,×,3 486,30 042 460,8 600,8 700,8 500,8 600,8 600,15 459 316,5 085 510,,,8600.0,0.0,3486.0,30042460.0,8600.0,8700.0,8500.0,8600.0,8600.0,15459316.0,5085510.0,,,
PRSC,https://www.richbourse.com/common/mouvements/index/PRSC,2025-09-12T13:29:10Z,-0.57%,×,82,213 850,2 600,2 625,2 610,2 610,2 625,10 240 000,10 240 000,,,2610.0,-0.57,82.0,213850.0,2600.0,2625.0,2610.0,2610.0,2625.0,10240000.0,10240000.0,,,
SAFC,https://www.richbourse.com/common/mouvements/index/SAFC,2025-09-12T13:29:11Z,-2.12%,×,6 742,7 816 470,1 195,1 180,1 150,1 155,1 180,8 119 750,2 389 650,,,1155.0,-2.12,6742.0,7816470.0,1195.0,1180.0,1150.0,1155.0,1180.0,8119750.0,2389650.0,,,
SCRC,https://www.richbourse.com/common/mouvements/index/SCRC,2025-09-12T13:29:13Z,2.48%,×,3 313,4 078 220,1 210,1 250,1 210,1 240,1 210,19 600 000,4 508 000,,,1240.0,2.48,3313.0,4078220.0,1210.0,1250.0,1210.0,1240.0,1210.0,19600000.0,4508000.0,,,
SDCC,https://www.richbourse.com/common/mouvements/index/SDCC,2025-09-12T13:29:14Z,-0.48%,×,4 207,26 251 125,6 300,6 300,6 200,6 205,6 235,9 000 000,4 458 080,,,6205.0,-0.48,4207.0,26251125.0,6300.0,6300.0,6200.0,6205.0,6235.0,9000000.0,4458080.0,,,
SDSC,https://www.richbourse.com/common/mouvements/index/SDSC,2025-09-12T13:29:16Z,0.7%,×,7 887,11 253 935,1 420,1 440,1 420,1 430,1 420,54 435 300,13 616 425,,,1430.0,0.7,7887.0,11253935.0,1420.0,1440.0,1420.0,1430.0,1420.0,54435300.0,13616425.0,,,
SEMC,https://www.richbourse.com/common/mouvements/index/SEMC,2025-09-12T13:29:18Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGBC,https://www.richbourse.com/common/mouvements/index/SGBC,2025-09-12T13:29:19Z,0.35%,×,424,11 590 425,27 945,27 945,27 205,27 300,27 205,31 111 110,13 487 360,,,27300.0,0.35,424.0,11590425.0,27945.0,27945.0,27205.0,27300.0,27205.0,31111110.0,13487360.0,,,
SHEC,https://www.richbourse.com/common/mouvements/index/SHEC,2025-09-12T13:29:20Z,-0.87%,×,25 116,29 660 925,1 150,1 190,1 130,1 140,1 150,63 000 000,17 849 000,,,1140.0,-0.87,25116.0,29660925.0,1150.0,1190.0,1130.0,1140.0,1150.0,63000000.0,17849000.0,,,
SIBC,https://www.richbourse.com/common/mouvements/index/SIBC,2025-09-12T13:29:21Z,0%,×,9 285,50 360 545,5 500,5 500,5 350,5 405,5 405,100 000 000,20 000 000,,,5405.0,0.0,9285.0,50360545.0,5500.0,5500.0,5350.0,5405.0,5405.0,100000000.0,20000000.0,,,
SICC,https://www.richbourse.com/common/mouvements/index/SICC,2025-09-12T13:29:22Z,-0.25%,×,11,43 070,3 945,3 945,3 680,3 935,3 945,600 000,73 533,,,3935.0,-0.25,11.0,43070.0,3945.0,3945.0,3680.0,3935.0,3945.0,600000.0,73533.0,,,
SIVC,https://www.richbourse.com/common/mouvements/index/SIVC,2025-09-12T13:29:23Z,5.22%,×,2 772,1 968 615,715,720,670,705,670,8 734 000,2 438 600,,,705.0,5.22,2772.0,1968615.0,715.0,720.0,670.0,705.0,670.0,8734000.0,2438600.0,,,
SLBC,https://www.richbourse.com/common/mouvements/index/SLBC,2025-09-12T13:29:24Z,0.27%,×,120,2 235 250,18 600,18 650,18 600,18 650,18 600,16 460 840,3 062 240,,,18650.0,0.27,120.0,2235250.0,18600.0,18650.0,18600.0,18650.0,18600.0,16460840.0,3062240.0,,,
SMBC,https://www.richbourse.com/common/mouvements/index/SMBC,2025-09-12T13:29:26Z,-3.56%,×,135,1 264 230,8 810,10 100,8 810,9 740,10 100,7 795 200,4 035 248,,,9740.0,-3.56,135.0,1264230.0,8810.0,10100.0,8810.0,9740.0,10100.0,7795200.0,4035248.0,,,
SNTS,https://www.richbourse.com/common/mouvements/index/SNTS,2025-09-12T13:29:28Z,0%,×,2 353,60 702 665,25 800,25 900,25 600,25 800,25 800,100 000 000,30 510 900,,,25800.0,0.0,2353.0,60702665.0,25800.0,25900.0,25600.0,25800.0,25800.0,100000000.0,30510900.0,,,
SOGC,https://www.richbourse.com/common/mouvements/index/SOGC,2025-09-12T13:29:29Z,-1.33%,×,753,5 917 855,7 900,7 900,7 655,7 795,7 900,21 601 840,5 789 410,,,7795.0,-1.33,753.0,5917855.0,7900.0,7900.0,7655.0,7795.0,7900.0,21601840.0,5789410.0,,,
SPHC,https://www.richbourse.com/common/mouvements/index/SPHC,2025-09-12T13:29:30Z,0.43%,×,859,5 969 200,6 950,6 950,6 900,6 930,6 900,25 558 005,15 204 030,,,6930.0,0.43,859.0,5969200.0,6950.0,6950.0,6900.0,6930.0,6900.0,25558005.0,15204030.0,,,
STAC,https://www.richbourse.com/common/mouvements/index/STAC,2025-09-12T13:29:31Z,5.26%,×,3 764,3 044 700,815,815,760,800,760,13 440 000,2 800 000,,,800.0,5.26,3764.0,3044700.0,815.0,815.0,760.0,800.0,760.0,13440000.0,2800000.0,,,
STBC,https://www.richbourse.com/common/mouvements/index/STBC,2025-09-12T13:29:32Z,2.09%,×,760,14 579 845,18 950,19 295,18 900,19 295,18 900,17 955 000,4 732 840,,,19295.0,2.09,760.0,14579845.0,18950.0,19295.0,18900.0,19295.0,18900.0,17955000.0,4732840.0,,,
SVOC,https://www.richbourse.com/common/mouvements/index/SVOC,2025-09-12T13:29:33Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
TTLC,https://www.richbourse.com/common/mouvements/index/TTLC,2025-09-12T13:29:34Z,-0.63%,×,7 781,18 064 220,2 395,2 395,2 300,2 380,2 395,62 961 600,17 006 600,,,2380.0,-0.63,7781.0,18064220.0,2395.0,2395.0,2300.0,2380.0,2395.0,62961600.0,17006600.0,,,
TTLS,https://www.richbourse.com/common/mouvements/index/TTLS,2025-09-12T13:29:35Z,-0.81%,×,653,1 604 665,2 470,2 470,2 430,2 450,2 470,32 577 700,10 053 000,,,2450.0,-0.81,653.0,1604665.0,2470.0,2470.0,2430.0,2450.0,2470.0,32577700.0,10053000.0,,,
UNLC,https://www.richbourse.com/common/mouvements/index/UNLC,2025-09-12T13:29:37Z,-7.49%,×,130,4 007 865,30 755,35 000,30 755,30 755,33 245,9 183 400,19 792,,,30755.0,-7.49,130.0,4007865.0,30755.0,35000.0,30755.0,30755.0,33245.0,9183400.0,19792.0,,,
UNXC,https://www.richbourse.com/common/mouvements/index/UNXC,2025-09-12T13:29:38Z,-4.23%,×,7 876,7 256 755,945,945,905,905,945,20 750 000,5 750 000,,,905.0,-4.23,7876.0,7256755.0,945.0,945.0,905.0,905.0,945.0,20750000.0,5750000.0,,,
